street,STREET
commercial,COMMERCIAL / BUSINESS OFFICE
store,GROCERY FOOD STORE
residential,SIDEWALK
residential,APARTMENT
residential,RESIDENCE
gas,GAS STATION
store,APPLIANCE STORE
residential,RESIDENCE PORCH/HALLWAY
gas,OTHER (SPECIFY)
college,COLLEGE/UNIVERSITY GROUNDS
restaurant,RESTAURANT
other,OTHER
commercial,SMALL RETAIL STORE
commercial,VEHICLE NON-COMMERCIAL
street,ALLEY
building,ABANDONED BUILDING
restaurant,HOTEL/MOTEL
store,DEPARTMENT STORE
transportation,CTA TRAIN
transportation,VEHICLE - OTHER RIDE SHARE SERVICE (E.G.	 UBER	 LYFT)
taxicab,TAXICAB
transportation,CTA BUS
store,DRUG STORE
residential,RESIDENCE-GARAGE
store,CONVENIENCE STORE
residential,PARKING LOT / GARAGE (NON RESIDENTIAL)
driveway,PARKING LOT/GARAGE(NON.RESID.)
police,POLICE FACILITY / VEHICLE PARKING LOT
residential,PARK PROPERTY
restaurant,BAR OR TAVERN
residential,CHA APARTMENT
building,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA
commercial,VEHICLE - COMMERCIAL
sport,ATHLETIC CLUB
college,SCHOOL	 PUBLIC	 GROUNDS
building,GOVERNMENT BUILDING/PROPERTY
college,SCHOOL	 PUBLIC	 BUILDING
commercial,AUTO / BOAT / RV DEALERSHIP
police,POLICE FACILITY/VEH PARKING LOT
care,HOSPITAL BUILDING/GROUNDS
machine,ATM (AUTOMATIC TELLER MACHINE)
residential,CTA GARAGE / OTHER PROPERTY
college,SCHOOL	 PRIVATE	 GROUNDS
machine,COIN OPERATED MACHINE
church,CHURCH/SYNAGOGUE/PLACE OF WORSHIP
residential,RESIDENTIAL YARD (FRONT/BACK)
building,CTA PLATFORM
commercial,WAREHOUSE
building,CONSTRUCTION SITE
transportation,CTA BUS STOP
store,TAVERN/LIQUOR STORE
building,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA
building,CHA PARKING LOT/GROUNDS
college,SCHOOL	 PRIVATE	 BUILDING
beauty,BARBERSHOP
residential,RESIDENCE - PORCH / HALLWAY
bank,CURRENCY EXCHANGE
residential,DRIVEWAY - RESIDENTIAL
driveway,CHA HALLWAY / STAIRWELL / ELEVATOR
transportation,VEHICLE - OTHER RIDE SHARE SERVICE (LYFT	 UBER	 ETC.)
residential,VACANT LOT / LAND
residential,RESIDENCE - YARD (FRONT / BACK)
bank,BANK
commercial,FACTORY / MANUFACTURING BUILDING
bridge,BRIDGE
residential,RESIDENCE - GARAGE
care,HOSPITAL BUILDING / GROUNDS
college,SCHOOL - PUBLIC BUILDING
entertainment,MOVIE HOUSE / THEATER
building,CHA PARKING LOT / GROUNDS
taxicab,CTA STATION
care,MEDICAL/DENTAL OFFICE
driveway,CHA HALLWAY/STAIRWELL/ELEVATOR
care,NURSING HOME/RETIREMENT HOME
building,AIRPORT EXTERIOR - NON-SECURE AREA
police,FIRE STATION
care,ANIMAL HOSPITAL
commercial,OTHER COMMERCIAL TRANSPORTATION
center,LIBRARY
highway,HIGHWAY/EXPRESSWAY
residential,VACANT LOT/LAND
care,NURSING / RETIREMENT HOME
store,CLEANING STORE
building,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA
building,GOVERNMENT BUILDING / PROPERTY
restaurant,HOTEL / MOTEL
repair,CAR WASH
college,SCHOOL - PUBLIC GROUNDS
college,SCHOOL - PRIVATE BUILDING
sport,SPORTS ARENA/STADIUM
building,AIRPORT VENDING ESTABLISHMENT
commercial,FACTORY/MANUFACTURING BUILDING
church,CHURCH / SYNAGOGUE / PLACE OF WORSHIP
store,NEWSSTAND
transportation,OTHER RAILROAD PROPERTY / TRAIN DEPOT
store,TAVERN / LIQUOR STORE
building,AIRPORT BUILDING NON-TERMINAL - SECURE AREA
building,AIRPORT EXTERIOR - SECURE AREA
watercraft,AIRCRAFT
care,MEDICAL / DENTAL OFFICE
care,DAY CARE CENTER
residential,LAKEFRONT / WATERFRONT / RIVERBANK
building,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA
commercial,VEHICLE-COMMERCIAL
center,POOL ROOM
entertainment,MOVIE HOUSE/THEATER
police,JAIL / LOCK-UP FACILITY
transportation,OTHER RAILROAD PROP / TRAIN DEPOT
building,FEDERAL BUILDING
store,PAWN SHOP
street,VEHICLE - OTHER RIDE SERVICE
bank,SAVINGS AND LOAN
college,COLLEGE/UNIVERSITY RESIDENCE HALL
building,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA
residential,LAKEFRONT/WATERFRONT/RIVERBANK
street,BOWLING ALLEY
department,CREDIT UNION
watercraft,AIRPORT/AIRCRAFT
cemetary,CEMETARY
transportation,AIRPORT TRANSPORTATION SYSTEM (ATS)
street,CTA TRACKS - RIGHT OF WAY
gas,VEHICLE - DELIVERY TRUCK
driveway,AIRPORT PARKING LOT
building,AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA
residential,CTA PARKING LOT / GARAGE / OTHER PROPERTY
secure,FOREST PRESERVE
watercraft,BOAT/WATERCRAFT
sport,SPORTS ARENA / STADIUM
commercial,VEHICLE-COMMERCIAL - TROLLEY BUS
commercial,VEHICLE-COMMERCIAL - ENTERTAINMENT/PARTY BUS
street,HORSE STABLE
building,FARM
college,COLLEGE / UNIVERSITY - GROUNDS
college,SCHOOL - PRIVATE GROUNDS
college,COLLEGE / UNIVERSITY - RESIDENCE HALL
kennel,KENNEL
highway,HIGHWAY / EXPRESSWAY
commercial,VEHICLE - COMMERCIAL: ENTERTAINMENT / PARTY BUS
commercial,HOUSE
store,BARBER SHOP/BEAUTY SALON
driveway,PARKING LOT
operated,YARD
college,PUBLIC GRAMMAR SCHOOL
watercraft,BOAT / WATERCRAFT
machine,AUTO
driveway,PORCH
care,HOSPITAL
commercial,VEHICLE - COMMERCIAL: TROLLEY BUS
driveway,ELEVATOR
gas,GAS STATION DRIVE/PROP.
commercial,RETAIL STORE
driveway,GARAGE
residential,VACANT LOT
restaurant,MOTEL
transportation,RAILROAD PROPERTY
residential,CTA PROPERTY
hallway,VESTIBULE
building,CHA GROUNDS
vehicle,TRUCK
driveway,CHA PARKING LOT
hallway,HALLWAY
restaurant,HOTEL
hallway,STAIRWELL
department,OFFICE
transportation,"CTA ""L"" TRAIN"
college,SCHOOL YARD
building,CHA LOBBY
hallway,GANGWAY
bank,RIVER BANK
driveway,DRIVEWAY
restaurant,TAVERN
sport,CLUB
store,LIQUOR STORE
transportation,CTA SUBWAY STATION
cha play lot,CHA PLAY LOT
taxicab,ROOMING HOUSE
driveway,BASEMENT
building,WOODED AREA
driveway,CHA ELEVATOR
building,GOVERNMENT BUILDING
church,CHURCH
driveway,GARAGE/AUTO REPAIR
